Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
2086,0.002049,0.000173,0.000103,0.000085,0.000069,0.000059,0.000052,0.000048,0.000046,0.000046,0.000048,0.000052,0.000064,0.000089,0.000137,0.000214,0.000307,0.000413,0.000524,0.000630,0.000724,0.000803,0.000867,0.000922,0.000977,0.001035,0.001092,0.001146,0.001192,0.001230,0.001259,0.001283,0.001310,0.001345,0.001385,0.001427,0.001468,0.001508,0.001544,0.001572,0.001591,0.001604,0.001623,0.001659,0.001718,0.001796,0.001889,0.002001,0.002144,0.002333,0.002572,0.002822,0.003086,0.003375,0.003693,0.004028,0.004375,0.004735,0.005110,0.005504,0.005923,0.006376,0.006875,0.007465,0.008228,0.009180,0.009967,0.010600,0.011201,0.011895,0.012766,0.013866,0.015215,0.016792,0.018536,0.020432,0.022504,0.024800,0.027355,0.030208,0.033394,0.037001,0.041240,0.046542,0.053489,0.062245,0.071020,0.079836,0.089065,0.098983,0.109752,0.121499,0.134362,0.148443,0.163765,0.180224,0.197365,0.214371,0.230364,0.245239,0.260360,0.275654,0.291043,0.306443,0.321766,0.337854,0.354747,0.372484,0.391108,0.410664,0.431197,0.452757,0.475394,0.499164,0.524122,0.550328,0.577845,0.606737,0.637074,0.668928
2087,0.002016,0.000170,0.000101,0.000083,0.000068,0.000058,0.000051,0.000048,0.000046,0.000046,0.000047,0.000051,0.000063,0.000088,0.000136,0.000212,0.000305,0.000410,0.000520,0.000626,0.000719,0.000797,0.000860,0.000915,0.000970,0.001027,0.001084,0.001138,0.001183,0.001221,0.001250,0.001273,0.001300,0.001334,0.001375,0.001416,0.001457,0.001496,0.001531,0.001559,0.001578,0.001590,0.001609,0.001645,0.001703,0.001780,0.001872,0.001983,0.002124,0.002313,0.002550,0.002799,0.003060,0.003346,0.003660,0.003993,0.004336,0.004692,0.005063,0.005453,0.005867,0.006315,0.006809,0.007395,0.008156,0.009108,0.009894,0.010524,0.011121,0.011810,0.012676,0.013768,0.015108,0.016675,0.018408,0.020293,0.022353,0.024635,0.027174,0.030010,0.033177,0.036761,0.040976,0.046253,0.053177,0.061913,0.070658,0.079436,0.088620,0.098487,0.109201,0.120889,0.133687,0.147697,0.162941,0.179316,0.196369,0.213289,0.229202,0.244002,0.259048,0.274265,0.289577,0.304900,0.320145,0.336153,0.352960,0.370608,0.389139,0.408596,0.429025,0.450477,0.473000,0.496650,0.521483,0.547557,0.574935,0.603682,0.633866,0.665559
2088,0.001983,0.000168,0.000100,0.000082,0.000068,0.000057,0.000051,0.000047,0.000045,0.000045,0.000046,0.000051,0.000062,0.000087,0.000135,0.000210,0.000303,0.000407,0.000517,0.000621,0.000714,0.000791,0.000854,0.000908,0.000963,0.001019,0.001076,0.001129,0.001175,0.001212,0.001240,0.001263,0.001290,0.001324,0.001364,0.001405,0.001445,0.001484,0.001519,0.001547,0.001565,0.001577,0.001595,0.001631,0.001688,0.001764,0.001856,0.001965,0.002105,0.002292,0.002529,0.002775,0.003034,0.003318,0.003629,0.003958,0.004298,0.004650,0.005016,0.005402,0.005812,0.006254,0.006743,0.007325,0.008084,0.009037,0.009822,0.010449,0.011042,0.011726,0.012586,0.013672,0.015003,0.016560,0.018283,0.020157,0.022204,0.024472,0.026996,0.029815,0.032962,0.036524,0.040715,0.045968,0.052869,0.061584,0.070300,0.079040,0.088179,0.097996,0.108655,0.120284,0.133019,0.146958,0.162125,0.178417,0.195383,0.212218,0.228051,0.242778,0.257749,0.272891,0.288126,0.303373,0.318541,0.334468,0.351192,0.368751,0.387189,0.406548,0.426876,0.448220,0.470631,0.494162,0.518870,0.544814,0.572054,0.600657,0.630690,0.662225
2089,0.001951,0.000166,0.000099,0.000081,0.000067,0.000056,0.000050,0.000046,0.000045,0.000044,0.000046,0.000050,0.000061,0.000086,0.000133,0.000209,0.000300,0.000404,0.000513,0.000616,0.000708,0.000785,0.000848,0.000902,0.000956,0.001012,0.001068,0.001121,0.001166,0.001203,0.001231,0.001254,0.001280,0.001314,0.001353,0.001394,0.001434,0.001472,0.001507,0.001534,0.001552,0.001564,0.001582,0.001617,0.001673,0.001749,0.001839,0.001947,0.002086,0.002272,0.002507,0.002752,0.003009,0.003289,0.003597,0.003923,0.004259,0.004608,0.004970,0.005352,0.005757,0.006194,0.006678,0.007256,0.008013,0.008967,0.009751,0.010375,0.010964,0.011644,0.012498,0.013576,0.014899,0.016447,0.018159,0.020021,0.022057,0.024311,0.026820,0.029622,0.032749,0.036290,0.040457,0.045686,0.052564,0.061258,0.069945,0.078647,0.087742,0.097509,0.108115,0.119686,0.132358,0.146227,0.161318,0.177527,0.194408,0.211158,0.226913,0.241567,0.256463,0.271530,0.286690,0.301860,0.316953,0.332801,0.349441,0.366913,0.385259,0.404522,0.424748,0.445985,0.468285,0.491699,0.516284,0.542098,0.569203,0.597663,0.627546,0.658924
2090,0.001920,0.000164,0.000097,0.000080,0.000066,0.000056,0.000049,0.000046,0.000044,0.000044,0.000045,0.000049,0.000060,0.000085,0.000132,0.000207,0.000298,0.000401,0.000509,0.000612,0.000703,0.000780,0.000842,0.000895,0.000949,0.001004,0.001060,0.001112,0.001157,0.001194,0.001222,0.001244,0.001270,0.001304,0.001343,0.001383,0.001423,0.001460,0.001495,0.001521,0.001539,0.001551,0.001568,0.001603,0.001659,0.001733,0.001822,0.001929,0.002067,0.002252,0.002486,0.002729,0.002984,0.003261,0.003566,0.003889,0.004222,0.004566,0.004925,0.005302,0.005702,0.006135,0.006614,0.007188,0.007943,0.008897,0.009680,0.010302,0.010887,0.011562,0.012410,0.013482,0.014796,0.016334,0.018036,0.019887,0.021911,0.024152,0.026646,0.029431,0.032539,0.036059,0.040203,0.045407,0.052262,0.060936,0.069594,0.078259,0.087309,0.097028,0.107581,0.119094,0.131703,0.145504,0.160518,0.176646,0.193442,0.210108,0.225785,0.240367,0.255190,0.270183,0.285268,0.300363,0.315382,0.331151,0.347708,0.365094,0.383348,0.402516,0.422641,0.443774,0.465962,0.489260,0.513723,0.539410,0.566380,0.594699,0.624434,0.655656
2091,0.001889,0.000162,0.000096,0.000079,0.000065,0.000055,0.000049,0.000045,0.000043,0.000043,0.000044,0.000049,0.000060,0.000084,0.000131,0.000205,0.000296,0.000398,0.000505,0.000608,0.000698,0.000774,0.000835,0.000889,0.000942,0.000997,0.001052,0.001104,0.001149,0.001185,0.001213,0.001235,0.001261,0.001294,0.001333,0.001373,0.001411,0.001449,0.001483,0.001509,0.001526,0.001538,0.001555,0.001589,0.001644,0.001718,0.001806,0.001912,0.002049,0.002232,0.002465,0.002706,0.002959,0.003234,0.003535,0.003855,0.004184,0.004525,0.004880,0.005253,0.005649,0.006076,0.006550,0.007121,0.007874,0.008828,0.009611,0.010230,0.010811,0.011481,0.012324,0.013388,0.014694,0.016223,0.017914,0.019755,0.021767,0.023995,0.026474,0.029242,0.032332,0.035830,0.039951,0.045131,0.051964,0.060617,0.069247,0.077874,0.086881,0.096551,0.107051,0.118507,0.131055,0.144787,0.159727,0.175774,0.192486,0.209069,0.224669,0.239180,0.253930,0.268849,0.283860,0.298881,0.313825,0.329517,0.345993,0.363292,0.381457,0.400530,0.420556,0.441584,0.463663,0.486846,0.511189,0.536748,0.563585,0.591765,0.621353,0.652421
2092,0.001859,0.000159,0.000095,0.000078,0.000064,0.000054,0.000048,0.000045,0.000043,0.000043,0.000044,0.000048,0.000059,0.000083,0.000129,0.000203,0.000293,0.000395,0.000502,0.000603,0.000693,0.000768,0.000829,0.000882,0.000935,0.000990,0.001045,0.001096,0.001140,0.001176,0.001203,0.001226,0.001251,0.001284,0.001322,0.001362,0.001400,0.001437,0.001471,0.001497,0.001514,0.001525,0.001542,0.001575,0.001630,0.001703,0.001790,0.001894,0.002030,0.002213,0.002444,0.002684,0.002934,0.003206,0.003505,0.003821,0.004147,0.004485,0.004836,0.005205,0.005596,0.006019,0.006488,0.007054,0.007806,0.008761,0.009542,0.010158,0.010736,0.011401,0.012238,0.013296,0.014594,0.016113,0.017794,0.019624,0.021624,0.023839,0.026304,0.029055,0.032127,0.035604,0.039702,0.044859,0.051670,0.060301,0.068902,0.077493,0.086456,0.096078,0.106527,0.117927,0.130413,0.144078,0.158944,0.174910,0.191539,0.208041,0.223565,0.238005,0.252683,0.267529,0.282467,0.297414,0.312285,0.327899,0.344294,0.361509,0.379584,0.398563,0.418492,0.439416,0.461387,0.484456,0.508679,0.534113,0.560819,0.588860,0.618303,0.649218
2093,0.001829,0.000157,0.000094,0.000077,0.000063,0.000054,0.000048,0.000044,0.000042,0.000042,0.000043,0.000047,0.000058,0.000082,0.000128,0.000202,0.000291,0.000392,0.000498,0.000599,0.000688,0.000763,0.000823,0.000876,0.000928,0.000982,0.001037,0.001088,0.001132,0.001167,0.001194,0.001216,0.001242,0.001274,0.001312,0.001351,0.001389,0.001426,0.001459,0.001485,0.001501,0.001512,0.001529,0.001562,0.001616,0.001688,0.001774,0.001877,0.002012,0.002193,0.002424,0.002662,0.002909,0.003179,0.003475,0.003788,0.004111,0.004445,0.004792,0.005157,0.005543,0.005961,0.006426,0.006988,0.007739,0.008693,0.009474,0.010087,0.010662,0.011322,0.012154,0.013204,0.014495,0.016005,0.017676,0.019495,0.021483,0.023685,0.026135,0.028871,0.031924,0.035381,0.039456,0.044590,0.051378,0.059988,0.068561,0.077115,0.086036,0.095611,0.106007,0.117352,0.129777,0.143376,0.158168,0.174055,0.190602,0.207023,0.222471,0.236841,0.251448,0.266222,0.281087,0.295962,0.310760,0.326298,0.342613,0.359743,0.377730,0.396617,0.416448,0.437270,0.459134,0.482090,0.506195,0.531505,0.558080,0.585984,0.615283,0.646047
2094,0.001799,0.000155,0.000093,0.000076,0.000063,0.000053,0.000047,0.000043,0.000042,0.000041,0.000043,0.000047,0.000057,0.000081,0.000127,0.000200,0.000289,0.000389,0.000494,0.000594,0.000683,0.000757,0.000817,0.000869,0.000921,0.000975,0.001029,0.001080,0.001123,0.001158,0.001186,0.001207,0.001232,0.001264,0.001302,0.001341,0.001378,0.001415,0.001447,0.001473,0.001489,0.001499,0.001516,0.001548,0.001602,0.001673,0.001758,0.001860,0.001994,0.002174,0.002403,0.002640,0.002885,0.003152,0.003445,0.003755,0.004075,0.004405,0.004749,0.005109,0.005492,0.005905,0.006364,0.006923,0.007672,0.008627,0.009406,0.010018,0.010588,0.011244,0.012070,0.013114,0.014396,0.015897,0.017559,0.019367,0.021344,0.023533,0.025969,0.028688,0.031723,0.035160,0.039213,0.044324,0.051090,0.059679,0.068223,0.076741,0.085620,0.095147,0.105493,0.116783,0.129148,0.142680,0.157400,0.173209,0.189674,0.206015,0.221388,0.235689,0.250225,0.264928,0.279721,0.294524,0.309250,0.324712,0.340948,0.357995,0.375895,0.394690,0.414424,0.435146,0.456903,0.479748,0.503735,0.528922,0.555368,0.583137,0.612294,0.642908
2095,0.001771,0.000153,0.000091,0.000075,0.000062,0.000052,0.000046,0.000043,0.000041,0.000041,0.000042,0.000046,0.000057,0.000080,0.000126,0.000199,0.000287,0.000386,0.000491,0.000590,0.000678,0.000752,0.000811,0.000863,0.000914,0.000968,0.001022,0.001072,0.001115,0.001150,0.001177,0.001198,0.001223,0.001254,0.001292,0.001330,0.001368,0.001403,0.001436,0.001461,0.001477,0.001487,0.001503,0.001535,0.001588,0.001658,0.001742,0.001844,0.001976,0.002155,0.002383,0.002618,0.002861,0.003126,0.003416,0.003722,0.004039,0.004366,0.004706,0.005062,0.005440,0.005849,0.006304,0.006859,0.007606,0.008561,0.009340,0.009948,0.010515,0.011167,0.011988,0.013025,0.014299,0.015791,0.017443,0.019241,0.021206,0.023383,0.025805,0.028508,0.031525,0.034942,0.038973,0.044060,0.050805,0.059373,0.067889,0.076371,0.085208,0.094689,0.104984,0.116219,0.128525,0.141992,0.156640,0.172372,0.188756,0.205018,0.220317,0.234549,0.249015,0.263647,0.278369,0.293100,0.307755,0.323143,0.339300,0.356265,0.374078,0.392782,0.412421,0.433042,0.454694,0.477429,0.501301,0.526366,0.552684,0.580318,0.609334,0.639801
2096,0.001742,0.000151,0.000090,0.000074,0.000061,0.000052,0.000046,0.000042,0.000041,0.000040,0.000042,0.000045,0.000056,0.000079,0.000125,0.000197,0.000285,0.000384,0.000487,0.000586,0.000673,0.000746,0.000805,0.000857,0.000908,0.000961,0.001014,0.001064,0.001107,0.001141,0.001168,0.001189,0.001213,0.001245,0.001282,0.001320,0.001357,0.001392,0.001424,0.001449,0.001464,0.001474,0.001490,0.001522,0.001574,0.001643,0.001727,0.001827,0.001958,0.002136,0.002363,0.002596,0.002838,0.003100,0.003387,0.003690,0.004003,0.004327,0.004663,0.005016,0.005390,0.005794,0.006244,0.006796,0.007541,0.008497,0.009274,0.009880,0.010443,0.011091,0.011906,0.012937,0.014203,0.015686,0.017328,0.019116,0.021070,0.023235,0.025642,0.028330,0.031330,0.034726,0.038736,0.043800,0.050523,0.059069,0.067557,0.076004,0.084799,0.094234,0.104480,0.115661,0.127908,0.141310,0.155888,0.171542,0.187847,0.204030,0.219255,0.233419,0.247817,0.262379,0.277030,0.291691,0.306275,0.321589,0.337668,0.354552,0.372279,0.390893,0.410438,0.430960,0.452508,0.475133,0.498890,0.523834,0.550026,0.577527,0.606404,0.636724
2097,0.001714,0.000149,0.000089,0.000073,0.000060,0.000051,0.000045,0.000042,0.000040,0.000040,0.000041,0.000045,0.000055,0.000078,0.000123,0.000195,0.000283,0.000381,0.000484,0.000581,0.000668,0.000741,0.000800,0.000850,0.000901,0.000954,0.001007,0.001056,0.001098,0.001133,0.001159,0.001180,0.001204,0.001235,0.001272,0.001310,0.001346,0.001381,0.001413,0.001437,0.001452,0.001462,0.001478,0.001509,0.001560,0.001629,0.001711,0.001811,0.001941,0.002118,0.002343,0.002575,0.002814,0.003074,0.003358,0.003658,0.003968,0.004289,0.004621,0.004970,0.005340,0.005739,0.006185,0.006733,0.007476,0.008433,0.009209,0.009813,0.010372,0.011016,0.011825,0.012850,0.014108,0.015582,0.017215,0.018993,0.020936,0.023088,0.025482,0.028154,0.031136,0.034513,0.038501,0.043543,0.050243,0.058769,0.067229,0.075640,0.084395,0.093784,0.103980,0.115108,0.127297,0.140635,0.155143,0.170721,0.186947,0.203052,0.218205,0.232302,0.246631,0.261123,0.275705,0.290295,0.304810,0.320050,0.336053,0.352856,0.370498,0.389023,0.408474,0.428898,0.450343,0.472860,0.496503,0.521328,0.547395,0.574765,0.603503,0.633678
2098,0.001687,0.000147,0.000088,0.000073,0.000059,0.000050,0.000045,0.000041,0.000040,0.000039,0.000040,0.000044,0.000054,0.000077,0.000122,0.000194,0.000280,0.000378,0.000480,0.000577,0.000663,0.000736,0.000794,0.000844,0.000894,0.000947,0.000999,0.001048,0.001090,0.001124,0.001150,0.001171,0.001195,0.001226,0.001262,0.001300,0.001336,0.001370,0.001402,0.001426,0.001440,0.001450,0.001465,0.001496,0.001547,0.001615,0.001696,0.001794,0.001923,0.002099,0.002324,0.002554,0.002791,0.003048,0.003329,0.003627,0.003934,0.004251,0.004580,0.004925,0.005290,0.005685,0.006127,0.006671,0.007413,0.008369,0.009144,0.009746,0.010302,0.010941,0.011745,0.012763,0.014014,0.015480,0.017103,0.018871,0.020803,0.022942,0.025323,0.027980,0.030945,0.034303,0.038269,0.043289,0.049967,0.058472,0.066904,0.075280,0.083994,0.093338,0.103485,0.114560,0.126692,0.139967,0.154405,0.169908,0.186056,0.202084,0.217165,0.231195,0.245456,0.259880,0.274392,0.288914,0.303359,0.318527,0.334454,0.351176,0.368735,0.387172,0.406530,0.426857,0.448200,0.470610,0.494140,0.518847,0.544790,0.572029,0.600630,0.630662
2099,0.001660,0.000145,0.000087,0.000072,0.000059,0.000050,0.000044,0.000041,0.000039,0.000039,0.000040,0.000044,0.000054,0.000077,0.000121,0.000192,0.000278,0.000375,0.000477,0.000573,0.000658,0.000730,0.000788,0.000838,0.000888,0.000940,0.000992,0.001041,0.001082,0.001116,0.001142,0.001162,0.001186,0.001217,0.001253,0.001290,0.001325,0.001360,0.001391,0.001414,0.001429,0.001438,0.001453,0.001483,0.001533,0.001600,0.001681,0.001778,0.001906,0.002081,0.002305,0.002533,0.002768,0.003023,0.003301,0.003596,0.003900,0.004213,0.004539,0.004880,0.005241,0.005632,0.006069,0.006610,0.007350,0.008307,0.009081,0.009680,0.010233,0.010867,0.011666,0.012678,0.013921,0.015378,0.016992,0.018750,0.020671,0.022799,0.025166,0.027807,0.030755,0.034094,0.038040,0.043037,0.049694,0.058177,0.066582,0.074924,0.083597,0.092897,0.102995,0.114018,0.126092,0.139305,0.153674,0.169103,0.185173,0.201125,0.216135,0.230099,0.244293,0.258649,0.273093,0.287546,0.301923,0.317019,0.332870,0.349513,0.366989,0.385339,0.404606,0.424836,0.446078,0.468381,0.491801,0.516391,0.542210,0.569321,0.597787,0.627676
2100,0.001633,0.000144,0.000086,0.000071,0.000058,0.000049,0.000043,0.000040,0.000039,0.000038,0.000039,0.000043,0.000053,0.000076,0.000120,0.000191,0.000276,0.000372,0.000473,0.000569,0.000654,0.000725,0.000782,0.000832,0.000881,0.000933,0.000985,0.001033,0.001074,0.001108,0.001133,0.001154,0.001177,0.001207,0.001243,0.001280,0.001315,0.001349,0.001379,0.001403,0.001417,0.001426,0.001441,0.001471,0.001520,0.001586,0.001666,0.001762,0.001889,0.002063,0.002285,0.002512,0.002745,0.002997,0.003273,0.003565,0.003866,0.004176,0.004499,0.004836,0.005193,0.005579,0.006012,0.006549,0.007288,0.008245,0.009018,0.009614,0.010164,0.010794,0.011588,0.012594,0.013830,0.015278,0.016882,0.018630,0.020541,0.022657,0.025010,0.027637,0.030568,0.033888,0.037813,0.042789,0.049424,0.057886,0.066263,0.074570,0.083204,0.092459,0.102510,0.113481,0.125499,0.138650,0.152951,0.168306,0.184300,0.200176,0.215115,0.229014,0.243142,0.257431,0.271807,0.286191,0.300501,0.315526,0.331302,0.347867,0.365261,0.383524,0.402700,0.422835,0.443977,0.466175,0.489484,0.513958,0.539656,0.566639,0.594971,0.624720
